Site,ID,standard.length,relative.otolith.area,relative.otolith.length,relative.otolith.width,relative.otolith.perimeter,Aspect ratio,Rectangularity,Roundness,Form factor,Ellipticity,Circularity,Altitude,Average river gradient,Latitude,Annual average temperature
CWLZ,170513120,158.05,1.854631145,1.765352459,1.384844718,5.076558366,1.274765637,0.758621318,0.757713131,0.904333555,0.120788547,13.89572526,1700,12.1571,28,11.9
CWLZ,170513122,126.56,2.074241521,1.779298344,1.510588488,5.364674075,1.177884221,0.771728214,0.83420328,0.905696112,0.081677538,13.87482009,1700,12.1571,28,11.9
CWLZ,170513123,149.69,2.15352205,1.877425696,1.463513749,5.455137226,1.282820675,0.783772025,0.777918189,0.909385085,0.123890886,13.81853608,1700,12.1571,28,11.9
CWLZ,170513125,152.81,1.909480665,1.668042718,1.437429273,5.129415407,1.160434638,0.796382323,0.873798001,0.911988549,0.074260353,13.77908816,1700,12.1571,28,11.9
CWLZ,170513126,136.99,1.797052862,1.792514238,1.372153095,5.073286533,1.306351488,0.730626919,0.712107801,0.877388492,0.132829488,14.3224703,1700,12.1571,28,11.9
CWLZ,170513127,114.67,2.142644914,1.823268363,1.502089453,5.476406782,1.213821427,0.782354908,0.820652186,0.897777401,0.096584767,13.99720086,1700,12.1571,28,11.9
CWLZ,170513128,117.43,1.724829339,1.659656302,1.309894609,4.97246573,1.26701514,0.793398941,0.797296634,0.876622064,0.11778269,14.33499238,1700,12.1571,28,11.9
CWLZ,170513129,111.06,1.86196506,1.824525873,1.312025004,5.168979694,1.390618218,0.777820507,0.712166586,0.875733048,0.163396319,14.34954482,1700,12.1571,28,11.9
CWLZ,170513130,116.89,1.955335854,1.843419437,1.385609311,5.299803699,1.330403471,0.765519765,0.732627401,0.874805812,0.141779514,14.36475437,1700,12.1571,28,11.9
CWLZ,170513131,123.41,1.722838998,1.731453386,1.314384124,4.895954696,1.317311549,0.757027376,0.731700252,0.903191365,0.136930897,13.913298,1700,12.1571,28,11.9
CWLZ,170513133,173.92,2.306929031,1.914606916,1.504476696,5.668035795,1.272606562,0.800883131,0.801281482,0.902358118,0.119953258,13.92614569,1700,12.1571,28,11.9
